Rank,Release Group,Worldwide,Domestic,%,Foreign,%
192,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
193,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
194,The Forgotten Carols,"$141,567","$141,567",100%,-,-
195,The Silencing,"$141,479","$100,746",71.2%,"$40,733",28.8%
196,Incitement,"$140,306","$140,306",100%,-,-
197,Most Wanted,"$138,000","$138,000",100%,-,-
198,Beneath Us,"$137,260","$137,260",100%,-,-
199,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
200,Lucky Grandma,"$126,778","$102,000",80.5%,"$24,778",19.5%
201,Only,"$125,603",-,-,"$125,603",100%
202,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
203,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
204,Heaven,"$111,232","$111,232",100%,-,-
205,Ammonite,"$110,935","$110,935",100%,-,-
206,Miss Juneteenth,"$105,908","$92,349",87.2%,"$13,559",12.8%
207,The Roads Not Taken,"$105,439","$3,518",3.3%,"$101,921",96.7%
208,First Cow,"$101,068","$101,068",100%,-,-
209,First Lady,"$93,298","$93,298",100%,-,-
210,Run,"$90,273",-,-,"$90,273",100%
211,Max Winslow and the House of Secrets,"$89,532","$31,250",34.9%,"$58,282",65.1%
212,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
213,Nomad: In the Footsteps of Bruce Chatwin,"$78,100",-,-,"$78,100",100%
214,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
215,Pray: The Story of Patrick Peyton,"$70,694","$70,694",100%,-,-
216,How to Build a Girl,"$70,632","$70,632",100%,-,-
217,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
218,My Brothers' Crossing,"$59,395","$59,395",100%,-,-
219,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
220,A Simple Wedding,"$54,415","$54,415",100%,-,-
221,Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.8%,$126,0.2%
222,House of Cardin,"$50,659",-,-,"$50,659",100%
223,Henchmen 2020 Re-release,"$49,676","$49,676",100%,-,-
224,The Way I See It,"$49,030","$49,030",100%,-,-
225,VHYes,"$47,037","$47,037",100%,-,-
226,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
227,Spree,"$43,840","$28,771",65.6%,"$15,069",34.4%
228,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
229,Three Christs,"$36,723","$36,723",100%,-,-
230,Tread,"$36,527","$36,527",100%,-,-
231,Waiting for Anya,"$36,404",-,-,"$36,404",100%
232,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
233,Rent-A-Pal,"$31,053","$30,901",99.5%,$152,0.5%
234,After Parkland,"$30,444","$30,444",100%,-,-
235,Olympic Dreams,"$29,450","$29,450",100%,-,-
236,Buffaloed,"$29,118","$29,118",100%,-,-
237,Abe,"$28,657",-,-,"$28,657",100%
238,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
239,José,"$26,563","$26,563",100%,-,-
240,Unsubscribe,"$25,488","$25,488",100%,-,-
241,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
242,Stage Mother,"$24,736",-,-,"$24,736",100%
243,The Trial of the Chicago 7,"$24,357",-,-,"$24,357",100%
244,Heart of Africa,"$24,139","$24,139",100%,-,-
245,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
246,Premature,"$23,071","$23,071",100%,-,-
247,L'Innocente,"$22,549","$22,549",100%,-,-
248,Tar,"$22,307","$22,307",100%,-,-
249,The Pale Door,"$21,166",-,-,"$21,166",100%
250,Jiu Jitsu,"$20,355",-,-,"$20,355",100%
251,Lore,"$20,006","$20,006",100%,-,-
252,She Is the Ocean,"$20,003","$18,828",94.1%,"$1,175",5.9%
253,Foster Boy,"$19,873","$19,873",100%,-,-
254,Mandy 2020 Re-release,"$19,169","$19,169",100%,-,-
255,Shithouse,"$18,370","$18,370",100%,-,-
256,Made in Hong Kong,"$17,843","$17,843",100%,-,-
257,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
258,Advocate,"$16,942","$16,942",100%,-,-
259,Centigrade,"$16,263","$16,263",100%,-,-
260,Straight Up,"$16,080","$16,080",100%,-,-
261,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
262,Counter Column,"$15,529","$15,529",100%,-,-
263,American Deep State,"$15,269","$15,269",100%,-,-
264,Embattled,"$15,141","$15,141",100%,-,-
265,"I Was at Home, But...","$14,078","$14,078",100%,-,-
266,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
267,Dreamland,"$11,896",-,-,"$11,896",100%
268,The Grizzlies,"$11,650","$11,650",100%,-,-
269,Powerbomb,"$11,319","$11,319",100%,-,-
270,Draupadi Unleashed,"$11,317","$11,317",100%,-,-
271,Lost in America,"$11,301","$11,301",100%,-,-
272,You Go to My Head,"$10,682","$10,682",100%,-,-
273,Coded Bias,"$10,236","$10,236",100%,-,-
274,Guest Artist,"$10,017","$10,017",100%,-,-
275,Foosballers,"$9,966","$9,966",100%,-,-
276,Just One More Kiss,"$9,130","$9,130",100%,-,-
277,Kindred,"$8,921","$8,921",100%,-,-
278,LX 2048,"$8,393",-,-,"$8,393",100%
279,Inside the Rain,"$8,140","$8,140",100%,-,-
280,The Wave,"$8,101","$8,101",100%,-,-
281,I AM PATRICK,"$7,880",-,-,"$7,880",100%
282,Dreaming Grand Avenue,"$7,789","$7,789",100%,-,-
283,Valley Girl,"$7,671",-,-,"$7,671",100%
284,The Other Lamb,"$7,385","$6,024",81.6%,"$1,361",18.4%
285,I Am Lisa,"$6,986","$6,986",100%,-,-
286,What We Found,"$6,976","$6,976",100%,-,-
287,12 Hour Shift,"$6,820","$6,820",100%,-,-
288,Human Capital,"$6,596","$6,596",100%,-,-
289,Afterward,"$6,477","$6,477",100%,-,-
290,In the Life of Music,"$6,069","$6,069",100%,-,-
291,Lie Exposed,"$5,938","$5,938",100%,-,-
292,Find Your Voice,"$5,862","$5,862",100%,-,-
293,Sex and the Future,"$5,745","$5,745",100%,-,-
294,Still Here,"$5,268","$5,268",100%,-,-
295,Ottolenghi and the Cakes of Versailles,"$4,962","$4,962",100%,-,-
296,No Ordinary Love,"$4,656","$4,656",100%,-,-
297,King's Gambit,"$3,816","$3,816",100%,-,-
298,Bang! Bang!,"$3,172","$3,172",100%,-,-
299,Moondance,"$2,371","$2,371",100%,-,-
300,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
301,Goldie,"$2,302","$2,302",100%,-,-
302,The Transcendents,"$2,041","$2,041",100%,-,-
303,Gul Makai,"$2,035",-,-,"$2,035",100%
304,The Shade Shepherd,"$2,015","$2,015",100%,-,-
305,The Fox Hunter,"$1,577","$1,577",100%,-,-
306,Frozen 2020 Re-release,"$1,437",-,-,"$1,437",100%
307,Fear Pharm,"$1,157","$1,157",100%,-,-
308,The Father,"$1,141",-,-,"$1,141",100%
309,Hai Tang Hong,"$1,107","$1,107",100%,-,-
310,Greater 2020 Re-release,$527,$527,100%,-,-
311,"Amigo Skate, Cuba",$500,$500,100%,-,-
312,Spaceship Earth,$362,-,-,$362,100%
